country,best_model,best_model_label,best_r2
Algeria,svm,SVM,0.8863796878884511
Argentina,svm,SVM,0.8444311584955211
Australia,svm,SVM,0.9936655903065664
Bangladesh,svm,SVM,0.8410039463463237
Belgium,svm,SVM,0.9975982868798832
Brazil,svm,SVM,0.8998146414457558
Canada,svm,SVM,0.8492715120681108
Chile,svm,SVM,0.9656944708816376
China,svm,SVM,0.7751640171579536
Colombia,svm,SVM,0.5574449108872995
Czech Republic,svm,SVM,0.9807739645865612
Denmark,svm,SVM,0.9940191002868864
Egypt,svm,SVM,0.9881397640812288
Finland,svm,SVM,0.9957250642188792
France,svm,SVM,0.9325569869815804
Germany,svm,SVM,0.9889485973809626
India,svm,SVM,0.9921616023193908
Indonesia,svm,SVM,0.9968476751826768
Iran,svm,SVM,0.9986226893724016
Iraq,svm,SVM,0.8210029141294325
Israel,svm,SVM,0.9959646159050872
Italy,svm,SVM,0.9905096958404888
Japan,svm,SVM,0.9813451252355456
Kazakhstan,svm,SVM,0.9984920616134088
Kenya,svm,SVM,0.5562445270186797
Kuwait,svm,SVM,0.9637833393822728
Malaysia,svm,SVM,0.9576743931429906
Mexico,svm,SVM,0.8100067246051362
Morocco,svm,SVM,0.981460654647298
Netherlands,svm,SVM,0.9877460160010534
Nigeria,svm,SVM,0.7025946221832473
Norway,svm,SVM,0.9973167300724908
Pakistan,svm,SVM,0.9252676340115862
Philippines,svm,SVM,0.9651484117415524
Poland,svm,SVM,0.9971063426916296
Qatar,svm,SVM,0.9378007257958388
Russia,svm,SVM,0.969589839520166
Saudi Arabia,svm,SVM,0.987227453105792
South Africa,svm,SVM,0.9511339270952032
South Korea,svm,SVM,0.9902250202466368
Spain,svm,SVM,0.8037151050267443
Sweden,svm,SVM,0.9899126168328106
Thailand,svm,SVM,0.9425742875126544
Turkey,svm,SVM,0.9837025288280796
UAE,svm,SVM,0.975492963067592
Ukraine,svm,SVM,0.9844275140739204
United Kingdom,svm,SVM,0.9926084512583117
United States,svm,SVM,0.9818514459723606
Venezuela,svm,SVM,0.9395693204493062
Vietnam,svm,SVM,0.9939101240252848
