country,tree_r2,tree_mae,tree_rmse,tree_mape,svm_r2,svm_mae,svm_rmse,svm_mape
Algeria,-19.45608108108104,0.3309999999999996,0.339182841547151,7.7356555877624436,0.8863796878884511,0.0201998075015843,0.0252784618858693,0.4729706007766592
Argentina,-0.1454741379310378,0.0605000000000002,0.0631367563309997,1.587592853858294,0.8444311584955211,0.0200813315997277,0.0232675647293735,0.525830675837371
Australia,-0.0009220077607545,0.2815000000000001,0.3459570059993005,1.980006353258783,0.9936655903065664,0.0257345768440607,0.0275216891469622,0.1781842314046579
Bangladesh,-3.4186046511627888,0.0839999999999999,0.0954986910905065,11.3937356979405,0.8410039463463237,0.0160531599873629,0.018115403797354,2.225937156531478
Belgium,-1.8090861344537843,0.4150000000000002,0.5171315113198964,5.963596037311567,0.9975982868798832,0.0121744385424804,0.0151209486817169,0.1660583474210904
Brazil,-1.1071286340103543,0.0595555555555554,0.0722888581480277,2.798059495677246,0.8998146414457558,0.0145868772017722,0.0157626041381024,0.6899027666243415
Canada,-13.227627840909156,0.1930000000000014,0.2001624340379596,1.38379200436128,0.8492715120681108,0.0169408132169763,0.0206022188614771,0.1216503216232021
Chile,-2.304142552543502,0.0351428571428577,0.0420834932980058,0.7956885054955845,0.9656944708816376,0.0041119865685454,0.0042880955688326,0.0928850639390624
China,-19.40765391014977,0.4320000000000004,0.4429898418699918,5.165470417847671,0.7751640171579536,0.0418938248717729,0.0464975570434525,0.5040101083025471
Colombia,-0.0046728971962617,0.022,0.0293257565972303,1.2997488496581069,0.5574449108872995,0.0180151919953163,0.0194634826349364,1.0577975663639485
Czech Republic,-1.4649221271222213,0.3220000000000006,0.3748866495355634,3.883937643211752,0.9807739645865612,0.0284811627942673,0.0331087848634259,0.3367002630899498
Denmark,-3.68679696287965,0.4580000000000003,0.5163913244817347,10.730180635657184,0.9940191002868864,0.0153448164257463,0.0184469311831888,0.3499425926889365
Egypt,-5.353503184713395,0.1640000000000003,0.1786616914730186,6.15779894681447,0.9881397640812288,0.0064814006181917,0.0077191855306052,0.245921672119409
Finland,-4.630829126379736,0.658,0.7255756335489774,10.840912547680556,0.9957250642188792,0.0112474563374046,0.019992233386785,0.1813839327161096
France,-1.758019525801953,0.1139999999999997,0.1257775814682407,2.6786540917308344,0.9325569869815804,0.0125888876911597,0.019668582121588,0.2911325360887912
Germany,-3.8709677419354778,0.5999999999999994,0.6730527468185531,8.880724578126173,0.9889485973809626,0.0281213648827217,0.0320590150124808,0.4147634566532974
India,-5.1020408163265225,0.1999999999999998,0.2187235698318768,9.77434397771882,0.9921616023193908,0.005578911634433,0.0078391987993657,0.2775392800587057
Indonesia,-3.0081450341565947,0.214,0.2470222662028668,8.100629021614456,0.9968476751826768,0.0056180905713947,0.0069275531769107,0.2191950502485848
Iran,-16.188865665969935,0.8,0.8507173443629794,9.223668237956668,0.9986226893724016,0.0067609848853393,0.0076151353674373,0.0778522543037062
Iraq,-7.873463814292235,0.372,0.3949177129479,7.241533422227336,0.8210029141294325,0.0490261069519627,0.0560896851592259,0.9529755956440644
Israel,-4.189060726447212,0.4859999999999994,0.5409066462893568,8.84985833402517,0.9959646159050872,0.0137106719488279,0.0150841339429073,0.2482522049268466
Italy,-0.1100496752006123,0.1279999999999999,0.152446712001276,2.569093836961529,0.9905096958404888,0.0113241631290858,0.0140957088464371,0.2245647611556721
Japan,-3.612940979769277,0.5880000000000006,0.6644095122738692,7.797402461964853,0.9813451252355456,0.0405819675822938,0.042251590448872,0.5318021691491214
Kazakhstan,-0.0046585046585054,0.1906666666666662,0.2153859584817707,1.3444035993312156,0.9984920616134088,0.0070652549191247,0.0083444929707705,0.0493542840872781
Kenya,-2.8636363636363584,0.0419999999999999,0.0487852436706018,9.220531537974626,0.5562445270186797,0.015056027364533,0.016533401687387,3.3354987369640225
Kuwait,-1.0693393512987297,0.5573333333333323,0.7351160150313379,2.4534643840571624,0.9637833393822728,0.0930518040838649,0.0972510340323215,0.4142450435641097
Malaysia,-7.067367415193509,0.3440000000000003,0.3675323115047169,4.154068866115951,0.9576743931429906,0.0212508955609568,0.0266214192186247,0.2582495869737495
Mexico,-2.0783682232958487,0.0391111111111119,0.0475991492817439,1.084447743163479,0.8100067246051362,0.0112516655653981,0.011825187131315,0.3132739355389816
Morocco,-4.196506550218334,0.124,0.1379855064852828,5.95468115678282,0.981460654647298,0.0061897086728856,0.0082418542435729,0.2996470704291382
