country,model,mae,mse,rmse,r2,mape
Algeria,tree,0.33099999999999963,0.11504499999999976,0.339182841547151,-19.45608108108104,7.7356555877624436
Algeria,svm,0.02019980750158439,0.0006390006353153505,0.02527846188586937,0.8863796878884511,0.4729706007766592
Australia,tree,0.28150000000000014,0.11968625000000008,0.34595700599930057,-0.0009220077607545729,1.980006353258783
Australia,svm,0.025734576844060796,0.0007574433735020221,0.02752168914696229,0.9936655903065663,0.17818423140465792
Argentina,tree,0.06050000000000022,0.003986250000000033,0.06313675633099972,-0.1454741379310378,1.587592853858294
Argentina,svm,0.020081331599727737,0.0005413795684355894,0.02326756472937358,0.8444311584955211,0.525830675837371
Chile,tree,0.03514285714285777,0.0017710204081633056,0.042083493298005877,-2.3041425525435026,0.7956885054955845
Chile,svm,0.004111986568545412,1.8387763607442108e-05,0.0042880955688326386,0.9656944708816376,0.09288506393906244
Belgium,tree,0.4150000000000002,0.26742500000000013,0.5171315113198964,-1.8090861344537843,5.963596037311567
Belgium,svm,0.012174438542480459,0.00022864308903511768,0.015120948681716954,0.9975982868798832,0.16605834742109046
Bangladesh,tree,0.08399999999999999,0.009119999999999998,0.09549869109050657,-3.4186046511627888,11.393735697940501
Bangladesh,svm,0.016053159987362918,0.0003281678547411878,0.018115403797354,0.8410039463463237,2.225937156531478
Brazil,tree,0.05955555555555545,0.005225679012345673,0.07228885814802771,-1.1071286340103543,2.798059495677246
Brazil,svm,0.014586877201772274,0.0002484596892145253,0.015762604138102477,0.8998146414457558,0.6899027666243415
Canada,tree,0.1930000000000014,0.04006500000000056,0.20016243403795966,-13.227627840909157,1.3837920043612801
Canada,svm,0.01694081321697638,0.00042445142201620384,0.020602218861477124,0.8492715120681108,0.12165032162320213
China,tree,0.4320000000000004,0.19624000000000036,0.4429898418699918,-19.407653910149772,5.165470417847671
China,svm,0.041893824871772976,0.0021620228110091197,0.04649755704345251,0.7751640171579536,0.5040101083025471
Colombia,tree,0.02200000000000002,0.0008600000000000016,0.029325756597230388,-0.004672897196261738,1.2997488496581067
Colombia,svm,0.01801519199531638,0.00037882715628047227,0.019463482634936437,0.5574449108872995,1.0577975663639483
Czech Republic,tree,0.3220000000000006,0.1405400000000004,0.37488664953556344,-1.4649221271222213,3.883937643211752
Czech Republic,svm,0.028481162794267333,0.0010961916351326243,0.033108784863425965,0.9807739645865612,0.3367002630899498
France,tree,0.1139999999999997,0.015819999999999945,0.12577758146824078,-1.758019525801953,2.6786540917308344
France,svm,0.012588887691159734,0.0003868531226736526,0.01966858212158804,0.9325569869815805,0.2911325360887912
Germany,tree,0.5999999999999994,0.4529999999999993,0.6730527468185531,-3.8709677419354778,8.880724578126173
Germany,svm,0.0281213648827217,0.001027780443570471,0.032059015012480825,0.9889485973809626,0.4147634566532974
Egypt,tree,0.1640000000000003,0.03192000000000011,0.17866169147301866,-5.353503184713395,6.15779894681447
Egypt,svm,0.006481400618191735,5.9585825255905624e-05,0.007719185530605261,0.9881397640812289,0.24592167211940907
Finland,tree,0.658,0.5264599999999999,0.7255756335489774,-4.630829126379736,10.840912547680555
Finland,svm,0.011247456337404671,0.00039968939579168296,0.019992233386785054,0.9957250642188791,0.1813839327161096
Denmark,tree,0.45800000000000035,0.2666600000000003,0.5163913244817347,-3.68679696287965,10.730180635657183
Denmark,svm,0.015344816425746366,0.00034028927007730624,0.018446931183188877,0.9940191002868864,0.3499425926889365
Indonesia,tree,0.21400000000000005,0.06102000000000003,0.24702226620286688,-3.0081450341565947,8.100629021614456
Indonesia,svm,0.005618090571394774,4.799099301892647e-05,0.006927553176910768,0.9968476751826769,0.21919505024858482
India,tree,0.19999999999999982,0.04783999999999992,0.21872356983187688,-5.1020408163265225,9.77434397771882
India,svm,0.005578911634433048,6.145303781597753e-05,0.007839198799365758,0.9921616023193907,0.27753928005870576
Iran,tree,0.8,0.7237200000000001,0.8507173443629794,-16.188865665969935,9.223668237956668
Iran,svm,0.006760984885339383,5.799028666439593e-05,0.0076151353674373985,0.9986226893724017,0.07785225430370622
Iraq,tree,0.37200000000000005,0.15596000000000002,0.39491771294790007,-7.873463814292235,7.241533422227336
Iraq,svm,0.049026106951962765,0.0031460527812610883,0.05608968515922592,0.8210029141294325,0.9529755956440644
Israel,tree,0.48599999999999943,0.29257999999999934,0.5409066462893568,-4.189060726447212,8.84985833402517
Israel,svm,0.013710671948827979,0.00022753109680756877,0.015084133942907321,0.9959646159050871,0.2482522049268466
Italy,tree,0.12799999999999995,0.02324000000000001,0.15244671200127607,-0.11004967520061237,2.5690938369615295
Italy,svm,0.011324163129085818,0.0001986890078835264,0.014095708846437145,0.9905096958404888,0.2245647611556721
Japan,tree,0.5880000000000006,0.4414400000000008,0.6644095122738692,-3.6129409797692773,7.797402461964853
Japan,svm,0.04058196758229382,0.0017851968954592124,0.04225159044887201,0.9813451252355457,0.5318021691491214
Kazakhstan,tree,0.19066666666666626,0.046391111111111064,0.21538595848177072,-0.00465850465850548,1.3444035993312156
Kazakhstan,svm,0.007065254919124797,6.963056293923933e-05,0.008344492970770563,0.9984920616134088,0.049354284087278134
Kenya,tree,0.04199999999999997,0.0023799999999999976,0.048785243670601844,-2.8636363636363584,9.220531537974626
Kenya,svm,0.015056027364533075,0.00027335337135649346,0.016533401687387064,0.5562445270186797,3.3354987369640225
Mexico,tree,0.039111111111111985,0.002265679012345749,0.04759914928174399,-2.0783682232958487,1.084447743163479
